postal_code,street,house_numbers,city,area,neighborhood,municipality,province
9573PA,1e Exloërmond,3 t/m 22,1e Exloërmond,Wijk 15 Tweede Exloërmond,Eerste Exloërmond,Borger-Odoorn,Drenthe
9573PB,1e Exloërmond,23 t/m 43,1e Exloërmond,Wijk 15 Tweede Exloërmond,Eerste Exloërmond,Borger-Odoorn,Drenthe
9573PC,1e Exloërmond,46 t/m 59,1e Exloërmond,Wijk 15 Tweede Exloërmond,Eerste Exloërmond,Borger-Odoorn,Drenthe
9573PD,1e Exloërmond,60 t/m 83,1e Exloërmond,Wijk 15 Tweede Exloërmond,Eerste Exloërmond,Borger-Odoorn,Drenthe
9573PE,1e Exloërmond,84 t/m 101,1e Exloërmond,Wijk 15 Tweede Exloërmond,Eerste Exloërmond,Borger-Odoorn,Drenthe
9573PG,1e Exloërmond,105 t/m 128,1e Exloërmond,Wijk 15 Tweede Exloërmond,Eerste Exloërmond,Borger-Odoorn,Drenthe
9573PH,1e Exloërmond,129 t/m 150,1e Exloërmond,Wijk 15 Tweede Exloërmond,Eerste Exloërmond,Borger-Odoorn,Drenthe
9571AA,Exloërkijl-Zuid,4 t/m 19,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AB,Exloërkijl-Zuid,20 t/m 37,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AC,Exloërkijl-Zuid,38 t/m 60,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AD,Exloërkijl-Zuid,61 t/m 84,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AE,Exloërkijl-Zuid,85 t/m 110,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AG,Exloërkijl-Zuid,111 t/m 131,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AH,Anne de Vriesstraat,1 t/m 39,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AJ,Anne de Vriesstraat,2 t/m 48,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AK,Jan Fabriciusstraat,1 t/m 18,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AL,Kijlstraat,1 t/m 61,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AM,Exloërkijl-Noord,1 t/m 24,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AN,Noorderdiep,1 t/m 9,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
9571AP,Noorderdiep,22 t/m 48,2e Exloërmond,Wijk 15 Tweede Exloërmond,Tweede Exloërmond,Borger-Odoorn,Drenthe
